"","RainToday","variable","value"
"1","No","Humidity9am",68
"2","Yes","Humidity9am",80
"3","Yes","Humidity9am",82
"4","Yes","Humidity9am",62
"5","Yes","Humidity9am",68
"6","No","Humidity9am",70
"7","No","Humidity9am",63
"8","No","Humidity9am",65
"9","No","Humidity9am",70
"10","Yes","Humidity9am",82
"11","No","Humidity9am",74
"12","No","Humidity9am",54
"13","No","Humidity9am",62
"14","No","Humidity9am",67
"15","No","Humidity9am",45
"16","No","Humidity9am",70
"17","No","Humidity9am",72
"18","Yes","Humidity9am",59
"19","No","Humidity9am",60
"20","No","Humidity9am",61
"21","No","Humidity9am",60
"22","No","Humidity9am",88
"23","Yes","Humidity9am",91
"24","No","Humidity9am",74
"25","No","Humidity9am",85
"26","No","Humidity9am",65
"27","No","Humidity9am",70
"28","No","Humidity9am",61
"29","No","Humidity9am",69
"30","No","Humidity9am",83
"31","Yes","Humidity9am",82
"32","Yes","Humidity9am",66
"33","No","Humidity9am",72
"34","Yes","Humidity9am",74
"35","No","Humidity9am",69
"36","No","Humidity9am",78
"37","No","Humidity9am",70
"38","Yes","Humidity9am",76
"39","No","Humidity9am",78
"40","No","Humidity9am",58
"41","No","Humidity9am",60
"42","No","Humidity9am",66
"43","No","Humidity9am",70
"44","No","Humidity9am",63
"45","No","Humidity9am",63
"46","Yes","Humidity9am",93
"47","Yes","Humidity9am",59
"48","No","Humidity9am",61
"49","No","Humidity9am",72
"50","Yes","Humidity9am",97
"51","Yes","Humidity9am",81
"52","Yes","Humidity9am",92
"53","Yes","Humidity9am",59
"54","No","Humidity9am",69
"55","Yes","Humidity9am",67
"56","No","Humidity9am",63
"57","No","Humidity9am",68
"58","Yes","Humidity9am",73
"59","No","Humidity9am",65
"60","No","Humidity9am",55
"61","No","Humidity9am",44
"62","No","Humidity9am",50
"63","No","Humidity9am",43
"64","No","Humidity9am",69
"65","No","Humidity9am",56
"66","No","Humidity9am",69
"67","No","Humidity9am",77
"68","No","Humidity9am",60
"69","No","Humidity9am",77
"70","No","Humidity9am",74
"71","No","Humidity9am",64
"72","No","Humidity9am",56
"73","No","Humidity9am",61
"74","Yes","Humidity9am",65
"75","No","Humidity9am",70
"76","No","Humidity9am",70
"77","No","Humidity9am",58
"78","Yes","Humidity9am",62
"79","No","Humidity9am",63
"80","Yes","Humidity9am",92
"81","Yes","Humidity9am",80
"82","No","Humidity9am",73
"83","No","Humidity9am",55
"84","No","Humidity9am",60
"85","No","Humidity9am",64
"86","No","Humidity9am",67
"87","No","Humidity9am",70
"88","No","Humidity9am",71
"89","No","Humidity9am",60
"90","No","Humidity9am",72
"91","No","Humidity9am",68
"92","Yes","Humidity9am",66
"93","Yes","Humidity9am",73
"94","No","Humidity9am",71
"95","No","Humidity9am",67
"96","Yes","Humidity9am",92
"97","Yes","Humidity9am",88
"98","No","Humidity9am",77
"99","No","Humidity9am",76
"100","Yes","Humidity9am",75
"101","No","Humidity9am",65
"102","No","Humidity9am",66
"103","No","Humidity9am",74
"104","Yes","Humidity9am",95
"105","Yes","Humidity9am",81
"106","No","Humidity9am",63
"107","No","Humidity9am",69
"108","No","Humidity9am",71
"109","No","Humidity9am",64
"110","No","Humidity9am",72
"111","No","Humidity9am",69
"112","No","Humidity9am",78
"113","Yes","Humidity9am",88
"114","Yes","Humidity9am",78
"115","No","Humidity9am",57
"116","No","Humidity9am",54
"117","No","Humidity9am",70
"118","No","Humidity9am",74
"119","No","Humidity9am",74
"120","No","Humidity9am",74
"121","Yes","Humidity9am",58
"122","No","Humidity9am",60
"123","No","Humidity9am",65
"124","No","Humidity9am",78
"125","No","Humidity9am",72
"126","No","Humidity9am",69
"127","No","Humidity9am",76
"128","No","Humidity9am",56
"129","Yes","Humidity9am",79
"130","No","Humidity9am",66
"131","No","Humidity9am",74
"132","No","Humidity9am",50
"133","No","Humidity9am",80
"134","No","Humidity9am",91
"135","No","Humidity9am",57
"136","No","Humidity9am",47
"137","No","Humidity9am",44
"138","No","Humidity9am",73
"139","No","Humidity9am",76
"140","No","Humidity9am",59
"141","No","Humidity9am",76
"142","No","Humidity9am",77
"143","No","Humidity9am",71
"144","No","Humidity9am",76
"145","No","Humidity9am",89
"146","Yes","Humidity9am",94
"147","Yes","Humidity9am",76
"148","No","Humidity9am",80
"149","No","Humidity9am",78
"150","No","Humidity9am",90
"151","No","Humidity9am",60
"152","No","Humidity9am",54
"153","No","Humidity9am",72
"154","No","Humidity9am",90
"155","Yes","Humidity9am",68
"156","No","Humidity9am",77
"157","No","Humidity9am",76
"158","No","Humidity9am",70
"159","No","Humidity9am",66
"160","No","Humidity9am",68
"161","No","Humidity9am",69
"162","No","Humidity9am",82
"163","No","Humidity9am",72
"164","No","Humidity9am",75
"165","Yes","Humidity9am",96
"166","Yes","Humidity9am",70
"167","No","Humidity9am",66
"168","No","Humidity9am",65
"169","No","Humidity9am",77
"170","No","Humidity9am",58
"171","No","Humidity9am",69
"172","No","Humidity9am",66
"173","No","Humidity9am",77
"174","No","Humidity9am",79
"175","No","Humidity9am",74
"176","No","Humidity9am",82
"177","No","Humidity9am",84
"178","No","Humidity9am",99
"179","No","Humidity9am",68
"180","Yes","Humidity9am",75
"181","No","Humidity9am",69
"182","No","Humidity9am",80
"183","No","Humidity9am",67
"184","No","Humidity9am",81
"185","No","Humidity9am",74
"186","No","Humidity9am",76
"187","No","Humidity9am",76
"188","No","Humidity9am",70
"189","No","Humidity9am",73
"190","No","Humidity9am",80
"191","No","Humidity9am",78
"192","No","Humidity9am",80
"193","No","Humidity9am",80
"194","No","Humidity9am",73
"195","No","Humidity9am",87
"196","No","Humidity9am",84
"197","No","Humidity9am",80
"198","Yes","Humidity9am",88
"199","No","Humidity9am",68
