"","Month","Cloud9am","Cloud3pm","Temp3pm","Humidity9am","Humidity3pm","Evaporation","Sunshine"
"1","01",7,7,23.6,68,29,3.4,6.3
"2","01",5,3,25.7,80,36,4.4,9.7
"3","01",8,7,20.2,82,69,5.8,3.3
"4","01",2,7,14.1,62,56,7.2,9.1
"5","01",7,7,15.4,68,49,5.6,10.6
"6","01",7,5,14.8,70,57,5.8,8.2
"7","01",4,6,17.3,63,47,4.2,8.4
"8","01",6,7,15.5,65,57,5.6,4.6
"9","01",7,7,18.9,70,48,4,4.1
"10","01",7,1,21.7,82,32,5.4,7.7
"11","01",1,2,24,74,34,4.2,11.9
"12","01",0,3,26,54,35,7.2,12.5
"13","01",0,1,27.1,62,29,7.2,13
"14","01",1,4,30.7,67,20,6.2,12.4
"15","01",0,1,30.4,45,16,8.8,13.1
"16","01",0,3,30.7,70,22,8.4,11.1
"17","01",7,6,29.8,72,23,7.2,8.4
"18","01",1,5,28.6,59,26,7.2,10.1
"19","01",1,3,31.2,60,25,7.4,13
"20","01",0,1,32,61,27,8,10.4
"21","01",1,5,32.8,60,26,8.8,9.5
"22","01",8,8,18.3,88,72,9.2,0
"23","01",8,8,16.8,91,79,2.8,0.6
"24","01",7,5,22.8,74,57,1.2,7.5
"25","01",8,2,27.3,85,31,4.4,8.1
"26","01",2,4,25.1,65,48,6.8,8.9
"27","01",7,7,21.2,70,55,6.6,2.3
"28","01",5,7,26.7,61,31,4.4,10.7
"29","01",7,7,19.7,69,80,7,0.4
"30","01",8,7,23.2,83,49,2.6,0.5
"31","01",8,8,16.3,82,90,2.4,0.2
"32","02",2,2,25.2,66,46,1.6,12
"33","02",7,7,19.9,72,60,6.6,4.7
"34","02",5,2,25.1,74,40,3.8,11.8
"35","02",7,1,20.5,69,63,8.4,9.8
"36","02",8,7,24.5,78,54,6,6.3
"37","02",6,7,22.6,70,74,4.2,8.8
"38","02",8,1,26.3,76,42,4.2,8.8
"39","02",7,7,28.6,78,24,6.6,11.1
"40","02",7,7,22.9,58,37,10.4,10
"41","02",8,6,16.4,60,63,4.8,2.3
"42","02",7,5,19.4,66,51,4.2,7.3
"43","02",7,7,19.2,70,49,5,3.6
"44","02",1,2,25,63,37,4.4,12.7
"45","02",1,8,29.1,63,36,6.8,8.8
"46","02",8,8,20,93,86,6.4,0.9
"47","02",1,4,20.8,59,40,2.8,10.6
"48","02",6,7,19.8,61,43,6.6,8.7
"49","02",8,8,20,72,54,6.4,0.8
"50","02",8,7,20.4,97,74,1.6,2.3
"51","02",2,7,28.2,81,48,1.8,8.1
"52","02",8,3,19.6,92,62,4.4,5.9
"53","02",1,7,18.8,59,49,7.8,10.2
"54","02",6,4,22.5,69,43,6.2,12.1
"55","02",8,3,21,67,52,8.2,5.6
"56","02",1,1,23.9,63,35,5.2,13
"57","02",7,7,19,68,64,7.2,7.1
"58","02",1,5,27.4,73,44,8.8,13.2
"59","02",0,2,30.3,65,30,6.6,13.6
"60","02",1,1,34.3,55,18,9.6,13
"61","03",0,1,32.2,44,20,11.4,13.6
"62","03",7,6,31.8,50,20,8.8,12.8
"63","03",0,1,33.6,43,14,7.6,10.5
"64","03",8,7,22.3,69,55,12.6,2.2
"65","03",6,7,23.9,56,45,6.2,12.5
"66","03",7,2,26.8,69,40,7.4,11.7
"67","03",1,1,31.9,77,34,6.6,10.5
"68","03",1,1,31.3,60,36,9,12.6
"69","03",7,1,28,77,44,10,8.1
"70","03",8,1,27.9,74,45,6.6,8.8
"71","03",1,1,32.2,64,25,6.6,12.8
"72","03",0,1,34.5,56,24,9.4,13.3
"73","03",7,2,34,61,28,13.8,6.9
"74","03",2,3,31.8,65,35,9,13.5
"75","03",8,6,21.6,70,57,12.4,6
"76","03",7,1,31.7,70,26,5.2,11.1
"77","03",6,7,23.5,58,62,10.4,8.4
"78","03",1,1,23.9,62,42,6.4,11.6
"79","03",8,8,19.4,63,55,9.6,0.1
"80","03",8,8,18.6,92,88,5,0
"81","03",7,8,21.9,80,71,1.4,8.1
"82","03",8,7,18.6,73,58,5.6,1.6
"83","03",1,2,22.2,55,46,4.4,11.6
"84","03",1,4,22.7,60,38,5.8,10.8
"85","03",3,6,26.3,64,29,6.4,9.9
"86","03",7,7,24.6,67,32,6.8,8.2
"87","03",1,5,28.3,70,28,7.4,9
"88","03",1,4,30.7,71,28,6.6,11.6
"89","03",0,1,32.1,60,18,9.4,13.2
"90","03",1,1,32.3,72,22,10.4,11.8
"91","03",1,6,33.1,68,29,9.2,9.9
"92","04",7,8,26.3,66,49,10.2,3.6
"93","04",8,7,22.9,73,49,5.4,6.2
"94","04",7,2,27,71,44,5.8,8.1
"95","04",6,7,29.1,67,38,5.8,9.2
"96","04",8,8,22.1,92,76,8,0
"97","04",8,8,21.5,88,71,2.8,0.3
"98","04",4,7,26.5,77,41,2.8,8
"99","04",7,7,20.3,76,76,6.8,5.9
"100","04",7,7,18.7,75,58,5.4,5.6
"101","04",6,6,18.7,65,51,4,8.9
"102","04",1,7,21.4,66,37,5.8,9.6
"103","04",1,5,24.2,74,34,5,10.7
"104","04",8,5,22.6,95,60,6.6,5.9
"105","04",7,8,16.8,81,73,3.2,0.4
"106","04",1,1,22,63,37,2.8,12.7
"107","04",1,1,24.3,69,32,5.6,12.6
"108","04",1,1,24.7,71,40,7.2,12.6
"109","04",7,1,22.5,64,46,7.4,10.2
"110","04",5,4,24.1,72,42,6.8,11.7
"111","04",1,2,26.1,69,38,5.6,12.1
"112","04",2,7,28.6,78,31,7.2,8.2
"113","04",7,7,24,88,56,7.8,3.8
"114","04",5,5,27.4,78,42,3.2,8.6
"115","04",1,1,24.5,57,32,7.8,12.4
"116","04",0,1,22.9,54,34,10.4,12.4
"117","04",6,2,24.3,70,35,5.2,10.2
"118","04",3,6,27,74,27,5,11.6
"119","04",2,6,26.8,74,25,7.8,8.1
"120","04",7,7,15.3,74,78,7.6,0.8
"121","04",5,1,16.8,58,34,5.2,12
"122","05",1,1,20,60,31,6.2,12.1
"123","05",0,2,22.1,65,37,6.2,11.6
"124","05",1,1,25.5,78,28,5.6,10.1
"125","05",1,7,27,72,28,6,7.3
"126","05",1,1,26.2,69,35,6,11
"127","05",2,3,30,76,24,6,11.3
"128","05",0,7,27.7,56,34,8.4,7.5
"129","05",1,7,24.9,79,39,4.8,11.5
"130","05",0,1,27,66,33,5,11.5
